Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme,Komuna
POKRET ZA GORA,0,0.0,Kaçanik
NOVA DEMOKRATSKA STRANKA,41,0.28,Kaçanik
AAK-PSD KOALICIONI 100% KOSOVË,822,5.62,Kaçanik
SLOBODA,3,0.02,Kaçanik
SAMOSTALNA LIBERALNA STRANKA,26,0.18,Kaçanik
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,835,5.71,Kaçanik
JEDINSTVENA GORANSKA PARTIJA,1,0.01,Kaçanik
KOALICIJA VAKAT,412,2.82,Kaçanik
FJALA,31,0.21,Kaçanik
LËVIZJA VETËVENDOSJE!,5010,34.25,Kaçanik
KOSOVA DEMOKRATIK TÜRK PARTISI,3,0.02,Kaçanik
PARTIA ROME E BASHKUAR E KOSOVËS,1,0.01,Kaçanik
PARTIA EUROATLANTIKE E KOSOVËS,13,0.09,Kaçanik
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Kaçanik
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,2,0.01,Kaçanik
ESMIR KASI,0,0.0,Kaçanik
GRAÐANSKA İNİCİJATİVA GORE,5,0.03,Kaçanik
LIDHJA DEMOKRATIKE E KOSOVËS,2416,16.52,Kaçanik
SRPSKA LISTA,4,0.03,Kaçanik
PARTIA LIBERALE EGJIPTIANE,291,1.77,Klinë
PARTIA DEMOKRATIKE E KOSOVËS,4412,26.77,Klinë
PARTIA E ASHKALINJËVE PËR INTEGRIM,11,0.07,Klinë
STRANKA DEMOKRATSKE AKCIJE,4,0.02,Klinë
PARTIJA KOSOVSKIH SRBA,2,0.01,Klinë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,12,0.07,Klinë
POKRET ZA GORA,3,0.02,Klinë
NOVA DEMOKRATSKA STRANKA,45,0.27,Klinë
AAK-PSD KOALICIONI 100% KOSOVË,4456,27.03,Klinë
SLOBODA,69,0.42,Klinë
SAMOSTALNA LIBERALNA STRANKA,9,0.05,Klinë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,808,4.9,Klinë
JEDINSTVENA GORANSKA PARTIJA,8,0.05,Klinë
KOALICIJA VAKAT,10,0.06,Klinë
FJALA,53,0.32,Klinë
LËVIZJA VETËVENDOSJE!,1560,9.46,Klinë
KOSOVA DEMOKRATIK TÜRK PARTISI,2,0.01,Klinë
PARTIA ROME E BASHKUAR E KOSOVËS,7,0.04,Klinë
PARTIA EUROATLANTIKE E KOSOVËS,38,0.23,Klinë
KOSOVAKI NEVI ROMANI PARTIA,2,0.01,Klinë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,50,0.3,Klinë
ESMIR KASI,2,0.01,Klinë
GRAÐANSKA İNİCİJATİVA GORE,9,0.05,Klinë
LIDHJA DEMOKRATIKE E KOSOVËS,4444,26.96,Klinë
SRPSKA LISTA,176,1.07,Klinë
PARTIA LIBERALE EGJIPTIANE,13,0.69,Kllokot
PARTIA DEMOKRATIKE E KOSOVËS,106,5.6,Kllokot
PARTIA E ASHKALINJËVE PËR INTEGRIM,0,0.0,Kllokot
STRANKA DEMOKRATSKE AKCIJE,1,0.05,Kllokot
PARTIJA KOSOVSKIH SRBA,0,0.0,Kllokot
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,0.0,Kllokot
POKRET ZA GORA,1,0.05,Kllokot
NOVA DEMOKRATSKA STRANKA,0,0.0,Kllokot
AAK-PSD KOALICIONI 100% KOSOVË,44,2.32,Kllokot
SLOBODA,4,0.21,Kllokot
SAMOSTALNA LIBERALNA STRANKA,81,4.28,Kllokot
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,95,5.02,Kllokot
JEDINSTVENA GORANSKA PARTIJA,1,0.05,Kllokot
KOALICIJA VAKAT,1,0.05,Kllokot
FJALA,4,0.21,Kllokot
LËVIZJA VETËVENDOSJE!,183,9.67,Kllokot
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,Kllokot
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Kllokot
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Kllokot
KOSOVAKI NEVI ROMANI PARTIA,1,0.05,Kllokot
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Kllokot
ESMIR KASI,0,0.0,Kllokot
GRAÐANSKA İNİCİJATİVA GORE,0,0.0,Kllokot
LIDHJA DEMOKRATIKE E KOSOVËS,162,8.56,Kllokot
SRPSKA LISTA,1196,63.18,Kllokot
PARTIA LIBERALE EGJIPTIANE,8,0.1,Leposaviq
PARTIA DEMOKRATIKE E KOSOVËS,72,0.94,Leposaviq
PARTIA E ASHKALINJËVE PËR INTEGRIM,3,0.04,Leposaviq
STRANKA DEMOKRATSKE AKCIJE,38,0.5,Leposaviq
PARTIJA KOSOVSKIH SRBA,469,6.14,Leposaviq
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,4,0.05,Leposaviq
POKRET ZA GORA,5,0.07,Leposaviq
NOVA DEMOKRATSKA STRANKA,4,0.05,Leposaviq
AAK-PSD KOALICIONI 100% KOSOVË,25,0.33,Leposaviq
SLOBODA,26,0.34,Leposaviq
SAMOSTALNA LIBERALNA STRANKA,21,0.28,Leposaviq
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,53,0.69,Leposaviq
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Leposaviq
KOALICIJA VAKAT,14,0.18,Leposaviq
FJALA,1,0.01,Leposaviq
LËVIZJA VETËVENDOSJE!,67,0.88,Leposaviq
KOSOVA DEMOKRATIK TÜRK PARTISI,2,0.03,Leposaviq
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Leposaviq
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Leposaviq
KOSOVAKI NEVI ROMANI PARTIA,1,0.01,Leposaviq
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,5,0.07,Leposaviq
ESMIR KASI,1,0.01,Leposaviq
GRAÐANSKA İNİCİJATİVA GORE,3,0.04,Leposaviq
LIDHJA DEMOKRATIKE E KOSOVËS,36,0.47,Leposaviq
SRPSKA LISTA,6777,88.76,Leposaviq
PARTIA LIBERALE EGJIPTIANE,140,0.51,Lipjan
PARTIA DEMOKRATIKE E KOSOVËS,7099,25.91,Lipjan
PARTIA E ASHKALINJËVE PËR INTEGRIM,482,1.76,Lipjan
STRANKA DEMOKRATSKE AKCIJE,8,0.03,Lipjan
PARTIJA KOSOVSKIH SRBA,8,0.03,Lipjan
